BGF,Detection %,Mean Final Distance,Mean Path Length,Mean Straightness,Mean Turning Angle,Mean Final Fitness,Final Detected Count
Sphere,0.0,2.7957,4.6081,0.7697,0.9144,0.8171,0
Ackley,0.0,5.8815,4.5799,0.1821,1.7239,0.8404,0
